GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
magiadoslivros,com.eternos.magiadoslivros.domain.assembler,FornecedorAssembler,0,13,0,0,0,2,0,2,0,2
magiadoslivros,com.eternos.magiadoslivros.domain.assembler,PedidoAssembler,0,27,0,0,0,5,0,2,0,2
magiadoslivros,com.eternos.magiadoslivros.domain.assembler,PedidoLivroAssembler,0,28,0,0,0,6,0,2,0,2
magiadoslivros,com.eternos.magiadoslivros.domain.assembler,UsuarioAssembler,0,13,0,0,0,2,0,2,0,2
magiadoslivros,com.eternos.magiadoslivros.domain.assembler,LivroAssembler,13,27,0,0,3,5,2,2,2,2
magiadoslivros,com.eternos.magiadoslivros,SpringFoxConfig,0,14,0,0,0,6,0,2,0,2
magiadoslivros,com.eternos.magiadoslivros,MagiadoslivrosApplication,5,60,0,0,2,14,1,6,1,6
magiadoslivros,com.eternos.magiadoslivros.domain.service,CarrinhoDeCompras,168,0,30,0,5,0,27,0,12,0
magiadoslivros,com.eternos.magiadoslivros.domain.service,FornecedorService,0,93,0,0,0,15,0,7,0,7
magiadoslivros,com.eternos.magiadoslivros.domain.service,RelatorioDeVendas,0,3,0,0,0,1,0,1,0,1
magiadoslivros,com.eternos.magiadoslivros.domain.service,CarrinhoDeCompras.CarrinhoDeComprasBuilder,36,0,0,0,1,0,6,0,6,0
magiadoslivros,com.eternos.magiadoslivros.domain.service,PedidoService,0,78,0,2,0,13,0,5,0,4
magiadoslivros,com.eternos.magiadoslivros.domain.service,LivroService,0,137,0,4,0,22,0,10,0,8
magiadoslivros,com.eternos.magiadoslivros.domain.service,UsuarioService,0,109,0,4,0,18,0,9,0,7
magiadoslivros,com.eternos.magiadoslivros.domain.service,RelatorioDeEstoque,0,3,0,0,0,1,0,1,0,1
magiadoslivros,com.eternos.magiadoslivros.domain.util,PedidoUtil,0,116,0,2,0,18,0,6,0,5
magiadoslivros,com.eternos.magiadoslivros.domain.util,FornecedorUtil,16,34,3,1,4,6,2,3,0,3
magiadoslivros,com.eternos.magiadoslivros.domain.util,UsuarioUtil,45,29,7,1,11,4,6,3,2,3
magiadoslivros,com.eternos.magiadoslivros.domain.util,LivroUtil,1,30,1,1,1,4,1,3,0,3
magiadoslivros,com.eternos.magiadoslivros.domain.model.enums,Perfil,3,25,0,0,1,6,1,2,1,2
magiadoslivros,com.eternos.magiadoslivros.domain.model.enums,Genero,3,67,0,0,1,12,1,2,1,2
magiadoslivros,com.eternos.magiadoslivros.domain.request,LivroRequest,324,34,70,0,9,3,48,9,13,9
magiadoslivros,com.eternos.magiadoslivros.domain.request,PedidoRequest,45,64,0,0,7,17,13,8,13,8
magiadoslivros,com.eternos.magiadoslivros.domain.request,UsuarioRequest,47,80,0,0,15,14,2,23,2,23
magiadoslivros,com.eternos.magiadoslivros.domain.request,PedidoLivroRequest,98,17,22,0,0,3,15,5,4,5
magiadoslivros,com.eternos.magiadoslivros.domain.request,FornecedorRequest,324,31,70,0,8,1,48,8,13,8
magiadoslivros,com.eternos.magiadoslivros.domain.model,Livro,237,192,56,22,2,12,42,22,4,21
magiadoslivros,com.eternos.magiadoslivros.domain.model,Livro.LivroBuilder,90,0,0,0,1,0,12,0,12,0
magiadoslivros,com.eternos.magiadoslivros.domain.model,Fornecedor,348,47,77,1,8,2,50,12,11,12
magiadoslivros,com.eternos.magiadoslivros.domain.model,PedidoLivro,191,27,37,1,5,3,28,7,9,7
magiadoslivros,com.eternos.magiadoslivros.domain.model,PedidoLivro.PedidoLivroBuilder,55,0,2,0,1,0,8,0,7,0
magiadoslivros,com.eternos.magiadoslivros.domain.model,Pedido,469,58,93,1,13,4,64,15,17,15
magiadoslivros,com.eternos.magiadoslivros.domain.model,PedidoLivroId,115,9,22,0,4,1,20,1,9,1
magiadoslivros,com.eternos.magiadoslivros.domain.model,Pedido.PedidoBuilder,128,0,4,0,1,0,16,0,14,0
magiadoslivros,com.eternos.magiadoslivros.domain.model,Usuario,456,59,101,1,11,2,65,15,14,15
magiadoslivros,com.eternos.magiadoslivros.domain.security,WebSecurityConfig,0,17,0,0,0,9,0,2,0,2
magiadoslivros,com.eternos.magiadoslivros.domain.resource,RelatorioResource,0,11,0,0,0,3,0,3,0,3
magiadoslivros,com.eternos.magiadoslivros.domain.resource,UsuarioResource,0,36,0,0,0,8,0,7,0,7
magiadoslivros,com.eternos.magiadoslivros.domain.resource,PedidoResource,0,21,0,0,0,5,0,4,0,4
magiadoslivros,com.eternos.magiadoslivros.domain.resource,LivroResource,0,42,0,0,0,9,0,8,0,8
magiadoslivros,com.eternos.magiadoslivros.domain.resource,FornecedorResource,0,36,0,0,0,8,0,7,0,7
magiadoslivros,com.eternos.magiadoslivros.domain.exception,GlobalExceptionHandler,64,3,0,0,13,1,4,1,4,1
magiadoslivros,com.eternos.magiadoslivros.domain.exception,DefaultException,0,24,0,0,0,8,0,4,0,4
magiadoslivros,com.eternos.magiadoslivros.domain.exception,ErrorResponse,223,38,46,0,3,11,34,4,11,4
